City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Haldwani,IN,78.22,clear sky,29.2167,79.5167,OYO Premium Nainital Road Haldwani
3,Cururupu,BR,85.89,light rain,-1.8283,-44.8683,Pousada Través'cia
4,Rikitea,PF,78.28,clear sky,-23.1203,-134.9692,Pension Maro'i
8,Male,MV,86.0,few clouds,4.1748,73.5089,Hotel Octave Maldives
9,Arraial Do Cabo,BR,87.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
13,Carnarvon,AU,78.8,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
17,Georgetown,MY,82.0,scattered clouds,5.4112,100.3354,Cititel Penang
23,Tecoanapa,MX,81.84,clear sky,16.5167,-98.75,Hotel Manglares
26,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
30,Mehriz,IR,77.0,overcast clouds,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
32,Itarema,BR,85.86,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
37,Bengkulu,ID,76.5,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
40,Luvianos,MX,80.33,clear sky,18.9167,-100.4,
41,Vao,NC,75.65,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
47,Butaritari,KI,80.96,broken clouds,3.0707,172.7902,Isles Sunset Lodge
51,Puerto Ayora,EC,78.8,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
60,Yokadouma,CM,82.29,light rain,3.5167,15.05,Hôtel De Ville De Yokadouma
61,Farah,AF,81.1,scattered clouds,32.5,62.5,
62,Pangkalanbuun,ID,75.36,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
63,Cidreira,BR,87.75,clear sky,-30.1811,-50.2056,Hotel Castelo
65,Meulaboh,ID,78.21,overcast clouds,4.1363,96.1285,Kost Pria
68,Soyo,AO,87.8,few clouds,-6.1349,12.3689,Hotel Mpampa
72,Salalah,OM,84.2,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
73,Bambous Virieux,MU,80.6,light rain,-20.3428,57.7575,Casa Tia Villa
82,Boyolangu,ID,75.52,broken clouds,-8.1181,111.8935,Yos ega cv
83,Atuona,PF,80.19,light rain,-9.8,-139.0333,Villa Enata
91,Kavieng,PG,79.99,moderate rain,-2.5744,150.7967,Nusa Island Retreat
100,Acapulco,MX,82.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
101,Aitape,PG,77.92,heavy intensity rain,-3.1374,142.3475,
103,Tshela,CD,83.28,light rain,-4.9833,12.9333,Hotel Mirador
104,Castro,BR,78.39,clear sky,-24.7911,-50.0119,CHACARA BAILLY
109,Lodwar,KE,92.53,overcast clouds,3.1191,35.5973,Turkwel Lodge
111,Werda,BW,83.25,clear sky,-25.2667,23.2833,
112,Campo Maior,BR,87.21,broken clouds,-4.8278,-42.1686,Elite Hotel
113,Port Blair,IN,82.45,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
117,Ormara,PK,80.65,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
118,Saldanha,ZA,77.0,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
121,Panama City,PA,86.0,few clouds,8.9936,-79.5197,Hotel Riande Granada Urban
124,Anupgarh,IN,90.0,clear sky,29.1911,73.2086,kushal & Vishal DTH
125,Bathsheba,BB,78.8,volcanic ash,13.2167,-59.5167,Atlantis Hotel
126,Sao Filipe,CV,76.89,clear sky,14.8961,-24.4956,Tortuga B&B
134,Waddan,LY,81.66,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
137,Malim,PH,79.75,overcast clouds,7.452000000000001,123.4312,Malim
141,Hobyo,SO,83.17,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
144,Cayenne,GF,87.8,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
147,Avarua,CK,75.2,broken clouds,-21.2078,-159.775,Paradise Inn
149,Hithadhoo,MV,83.95,broken clouds,-0.6,73.0833,Scoop Guest House
150,Mahebourg,MU,80.6,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
153,Padang,ID,77.0,moderate rain,-0.9492,100.3543,Mercure Padang
161,Caravelas,BR,82.29,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
166,Minas De Barroteran,MX,75.18,overcast clouds,27.6333,-101.2833,Motel Venecia
179,Kieta,PG,77.54,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
180,Gumdag,TM,77.77,broken clouds,39.2061,54.5906,
185,Vila Velha,BR,84.2,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
193,Road Town,VG,82.4,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
199,Noumea,NC,79.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
202,Fomboni,KM,83.8,overcast clouds,-12.28,43.7425,Relais Singani
203,Dakar,SN,75.2,clear sky,14.6937,-17.4441,Redface Studios Meublés
205,Guarapari,BR,84.2,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
212,Sambava,MG,77.83,light rain,-14.2667,50.1667,Melrose
214,Bol,TD,91.27,clear sky,13.4586,14.7147,Hotel 3 Etoiles
215,Mana,GF,75.76,overcast clouds,5.6592,-53.7767,LE SAMANA
216,Bubaque,GW,77.23,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
226,Wagar,SD,88.48,scattered clouds,16.1525,36.2032,
230,Kandrian,PG,76.28,light rain,-6.2167,149.55,Kandrian Station
235,Tual,ID,83.21,broken clouds,-5.6667,132.75,Grand Vilia Hotel
239,Harper,LR,84.87,broken clouds,4.375,-7.7169,Screensaver
241,Perbaungan,ID,78.8,mist,3.5679,98.956,Bendang Lama
244,Porto Novo,BJ,89.6,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
246,Namatanai,PG,75.96,moderate rain,-3.6667,152.4333,Namatanai Hotel
248,Turbat,PK,85.89,clear sky,26.0023,63.044,Mubashar Quarters
250,Lorengau,PG,80.85,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
252,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
254,Sterling,US,75.0,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
262,Muli,MV,83.88,broken clouds,2.9167,73.5667,Medhufushi Island Resort
267,Geraldton,AU,75.2,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
268,Axim,GH,85.03,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
271,Nouadhibou,MR,75.2,clear sky,20.930999999999997,-17.0347,El Medina
