City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,RU,2021-04-11 15:56:16,59.7035,30.7861,50.0,32,0,6.71,clear sky
1,Svetlaya,RU,2021-04-11 15:56:17,46.5389,138.3297,41.32,79,100,9.33,overcast clouds
2,Haldwani,IN,2021-04-11 15:56:17,29.2167,79.5167,78.22,9,0,7.02,clear sky
3,Cururupu,BR,2021-04-11 15:56:17,-1.8283,-44.8683,85.89,63,96,6.96,light rain
4,Rikitea,PF,2021-04-11 15:56:18,-23.1203,-134.9692,78.28,75,9,10.71,clear sky
5,Victor Harbor,AU,2021-04-11 15:56:18,-35.5667,138.6167,60.01,65,67,7.34,broken clouds
6,Honghu,CN,2021-04-11 15:56:19,29.8206,113.4621,57.7,96,100,2.84,overcast clouds
7,Katsuura,JP,2021-04-11 15:56:19,35.1333,140.3,55.4,76,20,6.91,few clouds
8,Male,MV,2021-04-11 15:56:19,4.1748,73.5089,86.0,79,20,5.75,few clouds
9,Arraial Do Cabo,BR,2021-04-11 15:56:20,-22.9661,-42.0278,87.8,37,0,5.75,clear sky
10,Busselton,AU,2021-04-11 15:52:25,-33.65,115.3333,62.01,96,100,4.0,light rain
11,Mount Gambier,AU,2021-04-11 15:52:27,-37.8333,140.7667,50.0,81,90,4.61,overcast clouds
12,Kapaa,US,2021-04-11 15:56:21,22.0752,-159.319,64.4,88,20,6.91,light rain
13,Carnarvon,AU,2021-04-11 15:51:59,-24.8667,113.6333,78.8,94,75,16.11,broken clouds
14,Ushuaia,AR,2021-04-11 15:54:37,-54.8,-68.3,48.2,46,0,5.75,clear sky
15,Cape Town,ZA,2021-04-11 15:52:33,-33.9258,18.4232,72.0,73,0,19.57,clear sky
16,Penzance,GB,2021-04-11 15:56:21,50.1186,-5.5371,48.2,49,20,19.57,few clouds
17,Georgetown,MY,2021-04-11 15:53:12,5.4112,100.3354,82.0,89,40,2.3,scattered clouds
18,Mataura,NZ,2021-04-11 15:56:22,-46.1927,168.8643,48.0,96,91,4.0,overcast clouds
19,Kodiak,US,2021-04-11 15:56:22,57.79,-152.4072,37.4,87,90,5.75,light rain
20,Hobart,AU,2021-04-11 15:56:23,-42.8794,147.3294,48.2,71,90,14.97,overcast clouds
