City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vestmannaeyjar,IS,2021-04-08 22:58:35,63.4427,-20.2734,25.07,62,0,25.3
1,Cabo San Lucas,MX,2021-04-08 22:58:36,22.8909,-109.9124,84.99,44,1,17.27
2,Norman Wells,CA,2021-04-08 22:57:12,65.282,-126.8329,14.0,48,75,16.11
3,Chokurdakh,RU,2021-04-08 22:57:33,70.6333,147.9167,-2.58,86,99,6.15
4,Rikitea,PF,2021-04-08 22:57:11,-23.1203,-134.9692,76.64,63,15,2.13
5,Thompson,CA,2021-04-08 22:57:27,55.7435,-97.8558,53.6,30,40,11.5
6,Roma,US,2021-04-08 22:58:40,43.2128,-75.4557,75.2,33,1,11.5
7,Victoria,HK,2021-04-08 22:58:18,22.2855,114.1577,69.01,89,100,14.0
8,Kavieng,PG,2021-04-08 22:58:47,-2.5744,150.7967,80.62,82,100,9.95
9,Takoradi,GH,2021-04-08 22:58:48,4.8845,-1.7554,80.11,87,92,7.02
10,Punta Arenas,CL,2021-04-08 22:57:18,-53.15,-70.9167,46.4,71,0,21.85
11,Acarau,BR,2021-04-08 22:58:48,-2.8856,-40.12,80.76,80,98,15.03
12,Castro,BR,2021-04-08 22:58:02,-24.7911,-50.0119,62.65,89,93,7.74
13,Kapaa,US,2021-04-08 22:57:37,22.0752,-159.319,78.8,57,1,12.66
14,Barrow,US,2021-04-08 22:52:32,71.2906,-156.7887,-14.8,70,1,8.05
15,Saint-Philippe,RE,2021-04-08 22:57:25,-21.3585,55.7679,78.8,73,0,6.91
16,Coihaique,CL,2021-04-08 22:57:47,-45.5752,-72.0662,51.8,82,75,8.05
17,Corvallis,US,2021-04-08 22:57:54,44.5646,-123.262,55.0,50,90,8.05
18,Fairbanks,US,2021-04-08 22:58:51,64.8378,-147.7164,12.2,57,40,16.11
19,New Norfolk,AU,2021-04-08 22:57:15,-42.7826,147.0587,54.0,70,67,1.01
20,Husavik,IS,2021-04-08 22:57:14,66.0449,-17.3389,23.0,68,75,17.27
21,Yele,CM,2021-04-08 22:58:52,10.7323,13.5891,81.39,12,64,4.76
22,Hermanus,ZA,2021-04-08 22:54:11,-34.4187,19.2345,60.01,87,8,4.23
23,Butaritari,KI,2021-04-08 22:58:33,3.0707,172.7902,82.09,79,68,15.26
24,Penjamo,MX,2021-04-08 22:58:52,20.4333,-101.7333,87.8,11,20,4.61
25,Cape Town,ZA,2021-04-08 22:57:19,-33.9258,18.4232,64.0,88,0,9.22
26,Busselton,AU,2021-04-08 22:57:11,-33.65,115.3333,55.17,72,0,14.76
27,Hobart,AU,2021-04-08 22:53:40,-42.8794,147.3294,53.6,58,20,10.36
28,Dauphin,CA,2021-04-08 22:58:54,51.1494,-100.0502,62.6,36,1,13.8
29,Brewster,US,2021-04-08 22:58:55,41.3973,-73.6171,69.8,37,1,9.22
30,Praia Da Vitoria,PT,2021-04-08 22:58:55,38.7333,-27.0667,59.0,94,40,16.4
31,Hualmay,PE,2021-04-08 22:58:55,-11.0964,-77.6139,70.39,85,80,7.63
32,Provideniya,RU,2021-04-08 22:58:56,64.3833,-173.3,3.2,66,20,6.71
33,Ola,RU,2021-04-08 22:57:25,59.5833,151.2833,16.63,71,8,7.54
34,Saskylakh,RU,2021-04-08 22:57:28,71.9167,114.0833,-14.89,99,100,6.64
35,Oum Hadjer,TD,2021-04-08 22:58:57,13.2954,19.6966,86.63,9,22,11.34
36,Vaini,TO,2021-04-08 22:57:09,-21.2,-175.2,77.0,83,40,9.22
37,Qaanaaq,GL,2021-04-08 22:57:16,77.484,-69.3632,10.36,72,100,3.29
38,Leua,SK,2021-04-08 22:58:57,48.2156,18.6071,35.01,87,7,1.36
39,Jamestown,US,2021-04-08 22:58:02,42.097,-79.2353,75.2,31,20,13.8
40,Georgetown,MY,2021-04-08 22:54:43,5.4112,100.3354,79.0,94,20,5.64
41,Roald,NO,2021-04-08 22:58:58,62.5833,6.1333,37.4,81,100,13.8
42,Adrar,MR,2021-04-08 22:58:59,20.5022,-10.0711,78.85,16,0,10.42
43,Ilulissat,GL,2021-04-08 22:57:21,69.2167,-51.1,33.8,80,75,10.36
44,Atuona,PF,2021-04-08 22:57:23,-9.8,-139.0333,81.21,70,10,15.57
45,Khatanga,RU,2021-04-08 22:57:17,71.9667,102.5,-14.58,99,100,4.05
46,Mataura,NZ,2021-04-08 22:57:22,-46.1927,168.8643,61.0,73,0,1.01
47,Constitucion,CL,2021-04-08 22:58:13,-35.3333,-72.4167,56.71,90,11,4.14
48,Dhidhdhoo,MV,2021-04-08 22:59:01,6.8833,73.1,82.08,75,9,10.65
49,Narendranagar,IN,2021-04-08 22:59:01,30.1667,78.3,56.64,23,0,7.96
50,Rawson,AR,2021-04-08 22:55:25,-43.3002,-65.1023,63.34,53,93,11.34
51,Sibolga,ID,2021-04-08 22:58:14,1.7427,98.7792,76.44,87,100,2.89
52,Ribeira Grande,PT,2021-04-08 22:57:16,38.5167,-28.7,60.19,82,13,14.72
53,Kambove,CD,2021-04-08 22:56:05,-10.8764,26.5969,59.77,96,72,3.18
54,Bredasdorp,ZA,2021-04-08 22:57:21,-34.5322,20.0403,57.2,100,7,2.3
55,Hirara,JP,2021-04-08 22:58:48,24.8,125.2833,68.0,83,75,11.52
56,Port Elizabeth,ZA,2021-04-08 22:58:37,-33.918,25.5701,60.8,100,90,10.36
57,Kahului,US,2021-04-08 22:59:18,20.8947,-156.47,78.8,53,40,19.57
58,Tiarei,PF,2021-04-08 22:58:46,-17.5333,-149.3333,86.0,66,75,11.5
59,Upernavik,GL,2021-04-08 22:57:56,72.7868,-56.1549,23.56,71,100,3.58
60,Hovd,MN,2021-04-08 22:59:19,48.0056,91.6419,37.45,36,4,3.2
61,Hamptons At Boca Raton,US,2021-04-08 22:59:19,26.3826,-80.1859,75.99,53,1,6.91
62,Le Port,RE,2021-04-08 22:59:20,-20.9373,55.2919,78.8,69,40,12.66
63,Limpapa,PH,2021-04-08 22:59:20,7.1197,121.9106,78.21,79,69,3.33
64,Kitimat,CA,2021-04-08 22:59:20,54.0524,-128.6534,39.0,79,100,6.89
65,Nome,US,2021-04-08 22:58:15,64.5011,-165.4064,-0.4,55,1,8.05
66,Yellowknife,CA,2021-04-08 22:54:42,62.456,-114.3525,14.0,57,20,14.97
67,Qeshm,IR,2021-04-08 22:59:21,26.9581,56.2719,73.4,94,0,4.61
68,Hasaki,JP,2021-04-08 22:58:23,35.7333,140.8333,51.01,62,75,5.75
